230315, 과실류, 사과, 미시마,1,0,130,,,
230315, 과일과채류, 딸기, 설향,1,0,380,,,
230315, 과일과채류, 딸기, 기타딸기,1,0,1150,,,
230315, 과실류, 포도, 기타포도,1,0,650,,,
230315, 과실류, 감귤, 천헤향,1,0,400,,,
230315, 과일과채류, 방울토마토, 대추방울,1,0,400,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,220,,,
230315, 과일과채류, 딸기, 설향,1,0,250,,,
230315, 과일과채류, 참외, 기타참외,1,0,850,,,
230315, 과일과채류, 딸기, 설향,1,0,500,,,
230315, 엽경채류, 얼갈이배추, 알배기,1,0,150,,,
230315, 산채류, 방풍나물, 방풍나물,1,0,325,,,
230315, 과실류, 금감, 금감,1,0,460,,,
230315, 과일과채류, 딸기, 설향,1,0,470,,,
230315, 서류, 감자, 기타감자,1,0,115,,,
230315, 과실류, 사과, 미시마,1,0,120,,,
230315, 서류, 감자, 기타감자,1,0,100,,,
230315, 과일과채류, 딸기, 설향,1,0,500,,,
230315, 조미채소류, 쪽파, 깐쪽파,1,0,320,,,
230315, 과실류, 만감, 한라봉,1,0,383.33334,,,
230315, 과일과채류, 토마토, 대저토마토,1,0,460,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,350,,,
230315, 과실류, 배, 신고,1,0,200,,,
230315, 과일과채류, 딸기, 설향,1,0,200,,,
230315, 과일과채류, 딸기, 설향,1,0,300,,,
230315, 조미채소류, 쪽파, 쪽파,1,0,230,,,
230315, 산채류, 방풍나물, 방풍나물,1,0,325,,,
230315, 근채류, 연근, 연근,1,0,332,,,
230315, 버섯류, 표고버섯, 표고버섯,1,0,222.5,,,
230315, 과일과채류, 딸기, 설향,1,0,650,,,
230315, 서류, 고구마, 밤고구마,1,0,112,,,
230315, 엽경채류, 깻잎, 깻잎,1,0,750,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,320,,,
230315, 과실류, 사과, 미안마,1,0,410,,,
230315, 과일과채류, 딸기, 설향,1,0,650,,,
230315, 과실류, 사과, 미시마,1,0,120,,,
230315, 과실류, 금감, 금감,1,0,550,,,
230315, 조미채소류, 마늘, 깐마늘,1,0,680,,,
230315, 과일과채류, 딸기, 설향,1,0,750,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,330,,,
230315, 과일과채류, 딸기, 설향,1,0,660,,,
230315, 서류, 감자, 기타감자,1,0,135,,,
230315, 엽경채류, 깻잎, 깻잎,1,0,750,,,
230315, 조미채소류, 쪽파, 쪽파,1,0,214.28572,,,
230315, 서류, 고구마, 기타,1,0,259,,,
230315, 과일과채류, 토마토, 토마토,1,0,280,,,
230315, 과일과채류, 딸기, 기타딸기,1,0,1300,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 과실류, 포도, 기타포도,1,0,750,,,
230315, 농림가공, 곡물제조, 두부,0,0,141.66667,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,260,,,
230315, 엽경채류, 시금치, 시금치,1,0,155,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,284,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,330,,,
230315, 조미채소류, 쪽파, 깐쪽파,1,0,330,,,
230315, 과실류, 사과, 미시마,1,0,161,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,300,,,
230315, 과일과채류, 딸기, 설향,1,0,320,,,
230315, 과일과채류, 토마토, 대저토마토,1,0,464,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,290,,,
230315, 과실류, 만감, 한라봉,1,0,166.66667,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 과채류, 오이, 가시오이,1,0,265,,,
230315, 과일과채류, 토마토, 토마토,1,0,240,,,
230315, 과일과채류, 딸기, 기타딸기,1,0,1150,,,
230315, 산채류, 방풍나물, 방풍나물,1,0,325,,,
230315, 농림가공, 곡물제조, 연두부,0,0,100,,,
230315, 서류, 고구마, 밤고구마,1,0,120,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,260,,,
230315, 과일과채류, 딸기, 설향,1,0,600,,,
230315, 양채류, 브로코리(녹색꽃양배추), 브로코리,1,0,250,,,
230315, 버섯류, 표고버섯, 표고버섯,1,0,367.5,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 조미채소류, 마늘, 깐마늘,1,0,680,,,
230315, 조미채소류, 쪽파, 깐쪽파,1,0,320,,,
230315, 과일과채류, 딸기, 설향,1,0,220,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,440,,,
230315, 조미채소류, 마늘, 깐마늘,1,0,680,,,
230315, 서류, 감자, 기타감자,1,0,177.5,,,
230315, 과실류, 사과, 미시마,1,0,186,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,280,,,
230315, 과실류, 감귤, 천헤향,1,0,311.1111,,,
230315, 과일과채류, 방울토마토, 대추방울,1,0,483.33334,,,
230315, 과일과채류, 딸기, 설향,1,0,900,,,
230315, 과일과채류, 토마토, 토마토,1,0,200,,,
230315, 조미채소류, 대파, 대파,1,0,89,,,
230315, 서류, 고구마, 기타,1,0,255,,,
230315, 엽경채류, 깻잎, 깻잎,1,0,610,,,
230315, 과일과채류, 딸기, 설향,1,0,350,,,
230315, 농림가공, 곡물제조, 두부,0,0,141.66667,,,
230315, 과일과채류, 딸기, 설향,1,0,300,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,570,,,
230315, 과일과채류, 딸기, 설향,1,0,320,,,
230315, 과일과채류, 딸기, 설향,1,0,700,,,
230315, 과실류, 사과, 미시마,1,0,190,,,
230315, 서류, 고구마, 기타,1,0,150,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,610,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,200,,,
230315, 양채류, 브로코리(녹색꽃양배추), 브로코리,1,0,450,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,580,,,
230315, 과일과채류, 딸기, 설향,1,0,320,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 산채류, 방풍나물, 방풍나물,1,0,350,,,
230315, 엽경채류, 배추, 쌈배추,1,0,162.5,,,
230315, 엽경채류, 배추, 쌈배추,1,0,162.5,,,
230315, 과일과채류, 딸기, 설향,1,0,250,,,
230315, 과일과채류, 토마토, 토마토,1,0,200,,,
230315, 과일과채류, 딸기, 설향,1,0,500,,,
230315, 과실류, 블루베리, 블루베리,1,0,2500,,,
230315, 조미채소류, 쪽파, 쪽파,1,0,228.57143,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 과일과채류, 딸기, 설향,1,0,320,,,
230315, 조미채소류, 마늘, 깐마늘,1,0,800,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,530,,,
230315, 과일과채류, 딸기, 설향,1,0,500,,,
230315, 과일과채류, 토마토, 대저토마토,1,0,524,,,
230315, 과일과채류, 참외, 금싸라기,1,0,760,,,
230315, 과일과채류, 딸기, 설향,1,0,350,,,
230315, 조미채소류, 마늘, 깐마늘,1,0,800,,,
230315, 조미채소류, 풋고추, 청양,1,0,1000,,,
230315, 조미채소류, 풋고추, 청양,1,0,1000,,,
230315, 과일과채류, 토마토, 찰토마토,1,0,330,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 농림가공, 곡물제조, 두부,0,0,170,,,
230315, 과일과채류, 딸기, 설향,1,0,750,,,
230315, 과일과채류, 토마토, 토마토,1,0,360,,,
230315, 과일과채류, 딸기, 설향,1,0,600,,,
230315, 과일과채류, 딸기, 설향,1,0,700,,,
230315, 서류, 고구마, 기타,1,0,120,,,
230315, 버섯류, 표고버섯, 표고버섯,1,0,507.5,,,
230315, 엽경채류, 양배추, 꼬꼬마,1,0,290,,,
230315, 과실류, 감귤, 천헤향,1,0,422.22223,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,440,,,
230315, 과실류, 사과, 미시마,1,0,120,,,
230315, 서류, 고구마, 기타,1,0,155,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,440,,,
230315, 과일과채류, 딸기, 설향,1,0,710,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,292,,,
230315, 과일과채류, 딸기, 설향,1,0,400,,,
230315, 과실류, 사과, 미시마,1,0,150,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,380,,,
230315, 과일과채류, 참외, 기타참외,1,0,730,,,
230315, 엽경채류, 양배추, 꼬꼬마,1,0,290,,,
230315, 조미채소류, 방아, 방아,1,0,100,,,
230315, 산채류, 방풍나물, 방풍나물,1,0,375,,,
230315, 과채류, 가지, 가지,1,0,102,,,
230315, 과일과채류, 딸기, 설향,1,0,550,,,
230315, 과일과채류, 딸기, 설향,1,0,250,,,
230315, 엽경채류, 얼갈이배추, 알배기,1,0,150,,,
230315, 엽경채류, 갓, 돌산갓,1,0,75,,,
230315, 과일과채류, 딸기, 설향,1,0,300,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,810,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,300,,,
230315, 조미채소류, 마늘, 깐마늘,1,0,820,,,
230315, 과실류, 사과, 미안마,1,0,460,,,
230315, 과실류, 사과, 미시마,1,0,240,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,750,,,
230315, 과일과채류, 토마토, 대저토마토,1,0,500,,,
230315, 서류, 감자, 기타감자,1,0,75,,,
230315, 과일과채류, 참외, 금싸라기,1,0,725,,,
230315, 과일과채류, 딸기, 설향,1,0,700,,,
230315, 서류, 고구마, 기타,1,0,255,,,
230315, 엽경채류, 갓, 돌산갓,1,0,75,,,
230315, 과일과채류, 딸기, 설향,1,0,300,,,
230315, 조미채소류, 쪽파, 쪽파,1,0,294.2857,,,
230315, 서류, 고구마, 밤고구마,1,0,190,,,
230315, 과일과채류, 토마토, 찰토마토,1,0,400,,,
230315, 과일과채류, 딸기, 설향,1,0,300,,,
230315, 과일과채류, 딸기, 설향,1,0,800,,,
230315, 과일과채류, 딸기, 설향,1,0,300,,,
230315, 과일과채류, 딸기, 설향,1,0,450,,,
230315, 양채류, 양상추, 기타양상추,1,0,177.5,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,570,,,
230315, 과실류, 사과, 미시마,1,0,260,,,
230315, 서류, 감자, 기타감자,1,0,125,,,
230315, 과일과채류, 수박, 수박,1,0,363.63635,,,
230315, 조미채소류, 마늘, 깐마늘,1,0,820,,,
230315, 과일과채류, 딸기, 설향,1,0,350,,,
230315, 과실류, 사과, 미시마,1,0,266,,,
230315, 과일과채류, 딸기, 설향,1,0,300,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,440,,,
230315, 조미채소류, 방아, 방아,1,0,70,,,
230315, 과채류, 오이, 가시오이,1,0,150,,,
230315, 과일과채류, 딸기, 설향,1,0,800,,,
230315, 과일과채류, 토마토, 토마토,1,0,640,,,
230315, 과일과채류, 참외, 기타참외,1,0,580,,,
230315, 조미채소류, 쪽파, 쪽파,1,0,294.2857,,,
230315, 과일과채류, 딸기, 설향,1,0,600,,,
230315, 과일과채류, 딸기, 설향,1,0,250,,,
230315, 과일과채류, 딸기, 설향,1,0,350,,,
230315, 과채류, 가지, 가지,1,0,184,,,
230315, 양채류, 양상추, 기타양상추,1,0,237.5,,,
230315, 서류, 감자, 기타감자,1,0,155,,,
230315, 과일과채류, 토마토, 대저토마토,1,0,492,,,
230315, 과실류, 망고, 망고,1,0,3000,,,
230315, 과실류, 망고, 망고,1,0,3000,,,
230315, 과실류, 망고, 망고,1,0,3000,,,
230315, 과실류, 망고, 망고,1,0,3333.3333,,,
230315, 과실류, 망고, 망고,1,0,3333.3333,,,
230315, 과실류, 망고, 망고,1,0,4000,,,
230315, 과실류, 망고, 망고,1,0,5000,,,
230315, 과채류, 가지, 가지,1,0,184,,,
230315, 과일과채류, 딸기, 설향,1,0,500,,,
230315, 엽경채류, 얼갈이배추, 얼갈이배추,1,0,80,,,
230315, 과실류, 배, 신고,1,0,126.666664,,,
230315, 과일과채류, 딸기, 설향,1,0,350,,,
230315, 양채류, 브로코리(녹색꽃양배추), 브로코리,1,0,287.5,,,
230315, 특용작물류, 유채, 기타유채,1,0,184.75,,,
230315, 산채류, 취나물, 기타취나물,1,0,263.75,,,
230315, 엽경채류, 시금치, 시금치,1,0,263.75,,,
230315, 산채류, 방풍나물, 방풍나물,1,0,350,,,
230315, 과실류, 망고, 망고,1,0,5000,,,
230315, 과실류, 사과, 미시마,1,0,266,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,100,,,
230315, 과일과채류, 딸기, 설향,1,0,440,,,
230315, 과일과채류, 딸기, 설향,1,0,400,,,
230315, 과일과채류, 토마토, 완숙토마토,1,0,332,,,
230315, 과일과채류, 딸기, 설향,1,0,550,,,
230315, 과실류, 사과, 미시마,1,0,250,,,
230315, 과일과채류, 딸기, 설향,1,0,300,,,
230315, 과실류, 포도, 샤인마스캇,1,0,600,,,
230315, 특용작물류, 유채, 기타유채,1,0,184.75,,,
230315, 산채류, 취나물, 기타취나물,1,0,263.75,,,
230315, 엽경채류, 시금치, 시금치,1,0,263.75,,,
230315, 산채류, 방풍나물, 방풍나물,1,0,350,,,
230315, 과일과채류, 딸기, 설향,1,0,750,,,
230315, 엽경채류, 시금치, 시금치,1,0,220,,,
230315, 서류, 고구마, 기타,1,0,188,,,
230315, 과일과채류, 딸기, 설향,1,0,600,,,
230315, 과실류, 포도, 샤인마스캇,1,0,600,,,
