230317, 신선 해조류, 미역, 줄기미역,1,0,360,,
230317, 엽경채류, 시레기, 시레기,1,0,50,,
230317, 엽경채류, 머위대, 기타머위대,1,0,520,,
230317, 산채류, 마, 생장마,1,0,1200,,
230317, 엽경채류, 부추, 일반부추,1,0,36,,
230317, 산채류, 기타, 새발나물,1,0,200,,
230317, 엽경채류, 돗나물, 돗나물,1,0,180,,
230317, 엽경채류, 상추, 기타상추,1,0,160,,
230317, 산채류, 참나물, 참나물,1,0,220,,
230317, 신선 해조류, 다시마, 개다시마,1,0,360,,
230317, 신선 해조류, 미역, 줄기미역,1,0,360,,
230317, 엽경채류, 시레기, 시레기,1,0,50,,
230317, 엽경채류, 머위대, 기타머위대,1,0,520,,
230317, 산채류, 마, 생장마,1,0,1200,,
230317, 엽경채류, 부추, 일반부추,1,0,36,,
230317, 산채류, 기타, 새발나물,1,0,200,,
230317, 엽경채류, 돗나물, 돗나물,1,0,180,,
230317, 엽경채류, 상추, 기타상추,1,0,160,,
230317, 산채류, 참나물, 참나물,1,0,220,,
230317, 신선 해조류, 다시마, 개다시마,1,0,360,,
230317, 신선 해조류, 미역, 줄기미역,1,0,360,,
230317, 엽경채류, 시레기, 시레기,1,0,50,,
230317, 엽경채류, 머위대, 기타머위대,1,0,520,,
230317, 산채류, 마, 생장마,1,0,1200,,
230317, 엽경채류, 부추, 일반부추,1,0,36,,
230317, 산채류, 기타, 새발나물,1,0,200,,
230317, 엽경채류, 돗나물, 돗나물,1,0,180,,
230317, 엽경채류, 상추, 기타상추,1,0,160,,
230317, 산채류, 참나물, 참나물,1,0,220,,
230317, 산채류, 참나물, 참나물,1,0,220,,
230317, 과일과채류, 딸기, 설향,1,0,475,,
230317, 엽경채류, 봄동배추, 봄동배추,1,0,165,,
230317, 과실류, 사과, 후지,1,0,320,,
230317, 근채류, 당근, 세척당근,0,0,95,,
230317, 근채류, 당근, 세척당근,0,0,95,,
230317, 과일과채류, 딸기, 설향,1,0,650,,
230317, 엽경채류, 얼갈이배추, 얼갈이배추,1,0,190.8,,
230317, 과실류, 사과, 후지,1,0,155,,
230317, 과일과채류, 딸기, 기타딸기,1,0,880,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 버섯류, 느타리버섯, 느타리버섯,1,0,310,,
230317, 과일과채류, 딸기, 기타딸기,1,0,880,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 버섯류, 느타리버섯, 느타리버섯,1,0,310,,
230317, 과일과채류, 딸기, 기타딸기,1,0,880,,
230317, 조미채소류, 대파, 대파,1,0,215,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 조미채소류, 대파, 대파,1,0,215,,
230317, 서류, 고구마, 밤고구마,1,0,62,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 근채류, 당근, 세척당근,0,0,98,,
230317, 조미채소류, 대파, 대파,1,0,215,,
230317, 과일과채류, 딸기, 설향,1,0,600,,
230317, 농림가공, 전분 및 사료제조, 곤약,1,0,220,,
230317, 과일과채류, 참외, 금싸라기,1,0,520,,
230317, 엽경채류, 얼갈이배추, 얼갈이배추,1,0,190.8,,
230317, 과일과채류, 딸기, 설향,1,0,1050,,
230317, 엽경채류, 봄동배추, 봄동배추,1,0,200,,
230317, 과일과채류, 딸기, 설향,1,0,200,,
230317, 과일과채류, 딸기, 설향,1,0,1050,,
230317, 과일과채류, 딸기, 기타딸기,1,0,300,,
230317, 버섯류, 느타리버섯, 느타리버섯,1,0,310,,
230317, 조미채소류, 대파, 대파,1,0,210,,
230317, 조미채소류, 대파, 대파,1,0,210,,
230317, 과일과채류, 참외, 금싸라기,1,0,500,,
230317, 과실류, 사과, 후지,1,0,350,,
