230316, 과실류, 망고, 망고,0,0,400,,
230316, 과일과채류, 딸기, 기타딸기,1,0,360,,
230316, 과일과채류, 방울토마토, 대추방울,1,0,500,,
230316, 과일과채류, 딸기, 설향,1,0,820,,
230316, 버섯류, 송화버섯, 송화버섯,1,0,960,,
230316, 엽경채류, 상추, 쫑상추,1,0,115,,
230316, 서류, 고구마, 기타,1,0,88,,
230316, 과일과채류, 딸기, 장희,1,0,280,,
230316, 과일과채류, 참외, 금싸라기,1,0,730,,
230316, 과일과채류, 딸기, 장희,1,0,280,,
230316, 과일과채류, 참외, 금싸라기,1,0,730,,
230316, 과실류, 바나나, 바나나,0,0,253.84616,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,790,,
230316, 엽경채류, 깻잎, 깻잎순,1,0,617.5,,
230316, 과일과채류, 참외, 오복,1,0,780,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,790,,
230316, 과일과채류, 딸기, 장희,1,0,380,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,226,,
230316, 과일과채류, 딸기, 설향,1,0,300,,
230316, 조미채소류, 쪽파, 쪽파,1,0,85.71429,,
230316, 엽경채류, 시금치, 시금치,1,0,150,,
230316, 과실류, 망고, 망고,0,0,400,,
230316, 버섯류, 송화버섯, 송화버섯,1,0,850,,
230316, 과일과채류, 딸기, 장희,1,0,530,,
230316, 과일과채류, 딸기, 기타딸기,1,0,820,,
230316, 과일과채류, 딸기, 기타딸기,1,0,500,,
230316, 서류, 고구마, 기타,1,0,115,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,780,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,780,,
230316, 조미채소류, 마늘, 깐마늘 남도,1,0,780,,
230316, 과실류, 망고, 망고,0,0,400,,
230316, 엽경채류, 상추, 쫑상추,1,0,125,,
230316, 엽경채류, 시금치, 시금치,1,0,160,,
230316, 과일과채류, 딸기, 장희,1,0,900,,
230316, 과실류, 감귤, 천혜향,1,0,503.33334,,
230316, 버섯류, 송화버섯, 송화버섯,1,0,1050,,
230316, 과일과채류, 토마토, 완숙토마토,1,0,240,,
230316, 산채류, 두릅, 땅두릅,1,0,1250,,
230316, 과일과채류, 토마토, 토마토,1,0,320,,
230316, 엽경채류, 깻잎, 깻잎,1,0,800,,
230316, 엽경채류, 시금치, 시금치,1,0,200,,
230316, 과일과채류, 딸기, 설향,1,0,300,,
230316, 과일과채류, 딸기, 기타딸기,1,0,1070,,
230316, 조미채소류, 건고추, 기타건고추,1,0,1716.6666,,
230316, 과실류, 망고, 망고,0,0,400,,
230316, 과일과채류, 참외, 오복,1,0,745,,
230316, 엽경채류, 시금치, 시금치,1,0,40,,
230316, 엽경채류, 상추, 쫑상추,1,0,117.5,,
230316, 엽경채류, 시금치, 시금치,1,0,40,,
230316, 과일과채류, 토마토, 토마토,1,0,440,,
230316, 엽경채류, 깻잎, 깻잎순,1,0,400,,
230316, 과일과채류, 딸기, 설향,1,0,750,,
230316, 과일과채류, 딸기, 기타딸기,1,0,800,,
230316, 과일과채류, 딸기, 기타딸기,1,0,260,,
230316, 조미채소류, 대파, 대파,1,0,188,,
