230403, 과실류, 사과, 미시마, 1, 0, 110.0
230403, 과실류, 사과, 미얀마, 1, 0, 164.5
230403, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 616.25
230403, 과실류, 사과, 미시마, 1, 0, 130.0
230403, 과실류, 사과, 미얀마, 1, 0, 135.0
230403, 과일과채류, 딸기, 설향, 1, 0, 320.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 276.0
230403, 과실류, 사과, 미얀마, 1, 0, 234.5
230403, 과실류, 사과, 미시마, 1, 0, 160.0
230403, 과일과채류, 딸기, 설향, 1, 0, 230.0
230403, 과실류, 오렌지, 오렌지, 0, 0, 394.44446
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 과실류, 오렌지, 오렌지, 0, 0, 391.66666
230403, 과실류, 만감, 진지향, 1, 0, 560.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 298.0
230403, 과실류, 감귤, 천혜향, 1, 0, 633.3333
230403, 서류, 고구마, 밤고구마, 1, 0, 125.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 284.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 262.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 270.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 240.0
230403, 과일과채류, 딸기, 설향, 1, 0, 725.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 700.0
230403, 과일과채류, 참외, 오복, 1, 0, 700.0
230403, 과일과채류, 참외, 오복, 1, 0, 700.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 360.0
230403, 조미채소류, 대파, 대파, 1, 0, 105.0
230403, 과실류, 배, 신고, 1, 0, 126.0
230403, 과실류, 배, 신고, 1, 0, 93.333336
230403, 과실류, 감귤, 천혜향, 1, 0, 333.33334
230403, 엽경채류, 양배추, 양배추, 1, 0, 70.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 70.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 580.0
230403, 과실류, 사과, 후지, 1, 0, 490.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 70.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 450.0
230403, 과실류, 사과, 후지, 1, 0, 160.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 312.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 400.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 70.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 450.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 75.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 470.0
230403, 과채류, 오이, 가시오이, 1, 0, 318.0
230403, 과실류, 곶감, 감말랭이, 1, 0, 500.0
230403, 엽경채류, 양배추, 양배추, 1, 0, 75.0
230403, 서류, 감자, 기타감자, 1, 0, 317.5
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 750.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 320.0
230403, 엽경채류, 깻잎, 기타깻잎, 1, 0, 250.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 490.0
230403, 과일과채류, 메론, 파파야계, 1, 0, 280.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 483.33334
230403, 엽경채류, 상추, 포기찹, 1, 0, 490.0
230403, 과실류, 사과, 미시마, 1, 0, 250.0
230403, 과실류, 사과, 미얀마, 1, 0, 120.0
230403, 과채류, 오이, 가시오이, 1, 0, 318.0
230403, 과실류, 사과, 후지, 1, 0, 122.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 465.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 200.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 336.0
230403, 엽경채류, 깻잎, 깻단, 1, 0, 427.5
