230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과실류, 사과, 미얀마, 1, 0, 216.0
230403, 과실류, 사과, 미얀마, 1, 0, 269.5
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과실류, 사과, 미얀마, 1, 0, 235.0
230403, 과일과채류, 딸기, 설향, 1, 0, 325.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과일과채류, 딸기, 설향, 1, 0, 325.0
230403, 과실류, 사과, 미얀마, 1, 0, 244.5
230403, 과일과채류, 딸기, 설향, 1, 0, 680.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 224.0
230403, 과실류, 포도, 샤인마스캇, 1, 0, 810.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1366.6666
230403, 조미채소류, 양파, 양파, 1, 0, 76.92308
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 250.0
230403, 과실류, 단감, 부유, 1, 0, 290.0
230403, 과일과채류, 딸기, 설향, 1, 0, 370.0
230403, 양채류, 치커리, 치커리, 1, 0, 200.0
230403, 과일과채류, 딸기, 설향, 1, 0, 480.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 120.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 엽경채류, 미나리, 돌미나리, 1, 0, 230.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 960.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 560.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 586.0
230403, 과실류, 배, 신고, 1, 0, 151.33333
230403, 과실류, 포도, 포도, 0, 0, 312.5
230403, 산채류, 취나물, 취나물, 1, 0, 339.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 224.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 660.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 600.0
