230403, 양채류, 적채, 적채, 1, 0, 150.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 520.0
230403, 산채류, 취나물, 취나물, 1, 0, 400.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 200.0
230403, 양채류, 파프리카, 미니파프리카, 1, 0, 800.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과일과채류, 참외, 오복, 1, 0, 460.0
230403, 서류, 고구마, 기타, 1, 0, 140.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과일과채류, 딸기, 설향, 1, 0, 750.0
230403, 서류, 고구마, 기타, 1, 0, 130.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 480.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 서류, 고구마, 기타, 1, 0, 116.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 490.0
230403, 과실류, 배, 신고, 1, 0, 180.0
230403, 조미채소류, 풋고추, 오이고추, 1, 0, 280.0
230403, 과일과채류, 딸기, 천사, 1, 0, 110.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1520.0
230403, 근채류, 무, 저장무, 1, 0, 47.5
230403, 엽경채류, 청경채, 청경채, 1, 0, 100.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 100.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 100.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 100.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 100.0
230403, 과실류, 사과, 미얀마, 1, 0, 269.5
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 과실류, 사과, 후지, 1, 0, 300.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과채류, 오이, 취청, 1, 0, 320.0
230403, 엽경채류, 미나리, 미나리, 1, 0, 352.5
230403, 엽경채류, 쑥, 쑥, 1, 0, 600.0
230403, 과실류, 사과, 후지, 1, 0, 236.0
230403, 과일과채류, 딸기, 설향, 1, 0, 525.0
230403, 엽경채류, 기타, 엽경채류, 1, 0, 600.0
230403, 산채류, 새싹, 새싹, 1, 0, 600.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 460.0
230403, 과채류, 오이, 취청, 1, 0, 395.0
230403, 과일과채류, 딸기, 설향, 1, 0, 410.0
230403, 과채류, 오이, 취청, 1, 0, 395.0
230403, 조미채소류, 풋고추, 오이고추, 1, 0, 200.0
230403, 과실류, 배, 신고, 1, 0, 153.33333
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 330.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 240.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 240.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 조미채소류, 풋고추, 오이고추, 1, 0, 200.0
230403, 조미채소류, 풋고추, 오이고추, 1, 0, 400.0
230403, 조미채소류, 풋고추, 오이고추, 1, 0, 600.0
