230403, 과일과채류, 딸기, 설향, 1, 0, 390.0
230403, 과일과채류, 딸기, 설향, 1, 0, 750.0
230403, 과일과채류, 참외, 오복, 1, 0, 550.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과일과채류, 참외, 오복, 1, 0, 520.0
230403, 과일과채류, 참외, 오복, 1, 0, 550.0
230403, 과실류, 사과, 후지, 1, 0, 220.0
230403, 과실류, 사과, 미얀마, 1, 0, 260.0
230403, 엽경채류, 상추, 청상추, 1, 0, 565.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과실류, 금감, 금감, 1, 0, 325.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 460.0
230403, 과실류, 사과, 미얀마, 1, 0, 344.5
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 250.0
230403, 과실류, 사과, 미얀마, 1, 0, 129.5
230403, 과실류, 사과, 미얀마, 1, 0, 284.5
230403, 과실류, 사과, 미얀마, 1, 0, 361.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과실류, 사과, 미얀마, 1, 0, 300.0
230403, 과실류, 사과, 미얀마, 1, 0, 235.0
230403, 과실류, 사과, 미얀마, 1, 0, 356.5
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과일과채류, 딸기, 설향, 1, 0, 950.0
230403, 과실류, 사과, 미얀마, 1, 0, 352.5
230403, 과실류, 사과, 미얀마, 1, 0, 88.0
230403, 과실류, 사과, 미얀마, 1, 0, 88.0
230403, 과실류, 사과, 미얀마, 1, 0, 161.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 380.0
230403, 버섯류, 느타리버섯, 애느타리, 1, 0, 200.0
230403, 버섯류, 느타리버섯, 애느타리, 1, 0, 200.0
230403, 과일과채류, 딸기, 설향, 1, 0, 130.0
230403, 과실류, 만감, 기타만감, 1, 0, 480.0
230403, 과실류, 만감, 기타만감, 1, 0, 883.3333
230403, 과일과채류, 참외, 오복, 1, 0, 830.0
230403, 산채류, 두릅, 참두릅, 1, 0, 2560.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 440.0
230403, 과일과채류, 참외, 오복, 1, 0, 526.0
230403, 과채류, 가지, 가지, 1, 0, 100.0
230403, 과채류, 호박, 애호박, 1, 0, 150.0
230403, 과채류, 호박, 애호박, 1, 0, 137.5
230403, 과채류, 호박, 애호박, 1, 0, 150.0
230403, 과실류, 오렌지, 오렌지, 0, 0, 419.41177
230403, 과일과채류, 토마토, 토마토, 1, 0, 184.0
230403, 과채류, 가지, 가지, 1, 0, 110.0
230403, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 850.0
230403, 과실류, 사과, 후지, 1, 0, 400.0
230403, 엽경채류, 열무, 열무, 1, 0, 71.0
230403, 과채류, 호박, 애호박, 1, 0, 156.25
230403, 과실류, 오렌지, 오렌지, 0, 0, 420.58823
230403, 과실류, 배, 신고, 1, 0, 200.0
230403, 과실류, 감귤, 천혜향, 1, 0, 622.2222
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 260.0
230403, 과채류, 가지, 가지, 1, 0, 260.0
230403, 과실류, 사과, 미얀마, 1, 0, 285.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 224.0
230403, 과채류, 호박, 애호박, 1, 0, 156.25
230403, 엽경채류, 시금치, 시금치, 1, 0, 100.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 675.0
230403, 엽경채류, 열무, 열무, 1, 0, 135.0
230403, 엽경채류, 머위대, 머위잎, 1, 0, 810.0
230403, 과일과채류, 참외, 참외, 1, 0, 500.0
