230403, 과일과채류, 토마토, 토마토, 1, 0, 400.0
230403, 조미채소류, 양파, 조생양파, 1, 0, 124.666664
230403, 과채류, 오이, 백다다기, 1, 0, 200.0
230403, 조미채소류, 양파, 조생양파, 1, 0, 124.666664
230403, 과실류, 사과, 미시마, 1, 0, 180.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 630.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 600.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 651.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 200.0
230403, 과일과채류, 딸기, 장희, 1, 0, 466.66666
230403, 엽경채류, 부추, 일반부추, 1, 0, 240.0
230403, 과채류, 호박, 단호박, 0, 0, 325.0
230403, 엽경채류, 열무, 열무, 1, 0, 125.0
230403, 농림가공, 전분 및 사료제조, 도토리묵, 0, 0, 175.0
230403, 조미채소류, 풋고추, 오이고추, 1, 0, 597.2222
230403, 과일과채류, 참외, 노랑참외, 1, 0, 370.0
230403, 과일과채류, 딸기, 설향, 1, 0, 275.0
230403, 과채류, 호박, 단호박, 0, 0, 310.0
230403, 과실류, 바나나, 기타바나나, 1, 0, 261.53845
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 1125.0
230403, 과채류, 오이, 취청, 1, 0, 390.0
230403, 과일과채류, 딸기, 장희, 1, 0, 933.3333
230403, 산채류, 두릅, 땅두릅, 1, 0, 600.0
230403, 과실류, 바나나, 기타바나나, 1, 0, 261.53845
230403, 과일과채류, 딸기, 설향, 1, 0, 1200.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 210.0
230403, 엽경채류, 쑥갓, 쑥갓, 1, 0, 50.0
230403, 산채류, 두릅, 참두릅, 1, 0, 1700.0
230403, 산채류, 기타, 산채류기타, 1, 0, 2166.6667
230403, 산채류, 두릅, 땅두릅, 1, 0, 700.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 400.0
230403, 엽경채류, 냉이, 일반냉이, 1, 0, 350.0
230403, 과채류, 호박, 단호박, 0, 0, 320.0
230403, 과일과채류, 참외, 오복, 1, 0, 430.0
230403, 양채류, 치커리, 치커리, 1, 0, 530.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 751.0
230403, 양채류, 아스파라가스, 기타, 1, 0, 740.0
230403, 과일과채류, 딸기, 설향, 1, 0, 900.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 260.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1000.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 330.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 450.0
230403, 과일과채류, 딸기, 설향, 1, 0, 300.0
230403, 과채류, 호박, 애호박, 1, 0, 165.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 910.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 770.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 400.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 260.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 400.0
230403, 조미채소류, 대파, 대파, 1, 0, 147.0
230403, 엽경채류, 갓, 기타갓, 1, 0, 182.5
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 285.0
230403, 과일과채류, 딸기, 설향, 1, 0, 350.0
230403, 양채류, 파프리카, 빨강파프리카, 1, 0, 436.0
230403, 과일과채류, 참외, 참외, 1, 0, 480.0
230403, 과일과채류, 딸기, 장희, 1, 0, 700.0
230403, 엽경채류, 갓, 기타갓, 1, 0, 182.5
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 533.3333
230403, 과실류, 감귤, 천혜향, 1, 0, 450.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 800.0
230403, 엽경채류, 열무, 열무, 1, 0, 75.0
230403, 과실류, 사과, 후지, 1, 0, 280.0
230403, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 285.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 140.0
230403, 과채류, 가지, 가지, 1, 0, 132.0
230403, 과일과채류, 딸기, 금실, 1, 0, 350.0
230403, 과실류, 만감, 진지향, 1, 0, 440.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 450.0
230403, 과일과채류, 참외, 오복, 1, 0, 772.0
230403, 과채류, 오이, 취청, 1, 0, 315.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 140.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 200.0
230403, 엽경채류, 쑥, 쑥, 1, 0, 200.0
230403, 과일과채류, 딸기, 설향, 1, 0, 700.0
230403, 서류, 감자, 기타감자, 1, 0, 295.0
230403, 과실류, 금감, 금감, 1, 0, 640.0
230403, 조미채소류, 양파, 양파, 1, 0, 110.666664
230403, 과일과채류, 참외, 오복, 1, 0, 630.0
230403, 엽경채류, 얼갈이배추, 기타얼갈이배추, 1, 0, 80.0
230403, 과실류, 사과, 미얀마, 1, 0, 169.5
230403, 과실류, 사과, 후지, 1, 0, 160.0
230403, 과실류, 사과, 미얀마, 1, 0, 333.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1200.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과실류, 사과, 미얀마, 1, 0, 190.5
230403, 과실류, 사과, 후지, 1, 0, 175.0
230403, 과실류, 사과, 미얀마, 1, 0, 349.5
230403, 농림가공, 차, 유자차, 1, 0, 325.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 540.0
230403, 서류, 고구마, 밤고구마, 1, 0, 242.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 540.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 436.0
230403, 과일과채류, 딸기, 설향, 1, 0, 100.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 436.0
230403, 약용작물류, 오가피, 오가피, 1, 0, 1000.0
230403, 엽경채류, 상추, 청상추, 1, 0, 255.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 500.0
230403, 과실류, 감귤, 천혜향, 1, 0, 642.8571
230403, 산채류, 취나물, 취나물, 1, 0, 327.5
230403, 과실류, 사과, 후지, 1, 0, 220.0
230403, 과실류, 사과, 기타사과, 1, 0, 180.0
230403, 산채류, 취나물, 취나물, 1, 0, 327.5
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 500.0
230403, 조미채소류, 대파, 대파, 1, 0, 172.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 510.0
230403, 조미채소류, 쪽파, 깐쪽파, 1, 0, 30.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 692.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 620.0
230403, 엽경채류, 상추, 적상추, 1, 0, 312.5
230403, 과일과채류, 딸기, 설향, 1, 0, 360.0
230403, 과일과채류, 딸기, 설향, 1, 0, 200.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 670.0
230403, 버섯류, 표고버섯, 표고버섯, 1, 0, 350.0
230403, 과실류, 사과, 후지, 1, 0, 200.0
230403, 과일과채류, 딸기, 설향, 1, 0, 1230.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 430.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 620.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 425.0
230403, 산채류, 두릅, 기타두릅, 1, 0, 1360.0
230403, 과채류, 오이, 취청, 1, 0, 428.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 680.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 630.0
230403, 서류, 고구마, 기타, 1, 0, 255.0
230403, 엽경채류, 깻잎, 기타깻잎, 1, 0, 466.66666
230403, 산채류, 두릅, 참두릅, 1, 0, 1650.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 700.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
230403, 서류, 고구마, 기타, 1, 0, 240.0
230403, 엽경채류, 열무, 열무, 1, 0, 94.0
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 조미채소류, 양파, 기타양파, 1, 0, 124.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 600.0
230403, 과채류, 가지, 가지, 1, 0, 180.0
230403, 과일과채류, 참외, 노랑참외, 1, 0, 540.0
230403, 과일과채류, 참외, 오복, 1, 0, 999232.94
230403, 과일과채류, 딸기, 장희, 1, 0, 1133.3334
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 480.0
230403, 과일과채류, 딸기, 장희, 1, 0, 733.3333
230403, 과실류, 만감, 진지향, 1, 0, 333.33334
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 433.33334
230403, 과일과채류, 참외, 기타참외, 1, 0, 620.0
230403, 과채류, 호박, 기타호박, 1, 0, 290.125
230403, 과일과채류, 딸기, 설향, 1, 0, 550.0
230403, 과일과채류, 토마토, 대저토마토, 1, 0, 520.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 285.0
230403, 과일과채류, 딸기, 설향, 1, 0, 800.0
230403, 과채류, 가지, 가지, 1, 0, 356.125
230403, 과일과채류, 딸기, 설향, 1, 0, 600.0
230403, 과일과채류, 딸기, 설향, 1, 0, 650.0
230403, 과채류, 오이, 취청, 1, 0, 315.0
230403, 과실류, 포도, 포도, 0, 0, 537.5
230403, 과일과채류, 참외, 기타참외, 1, 0, 740.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 350.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 1000.0
230403, 과일과채류, 참외, 오복, 1, 0, 650.0
230403, 엽경채류, 열무, 열무, 1, 0, 87.5
230403, 과채류, 호박, 단호박, 0, 0, 315.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 400.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 385.0
230403, 과일과채류, 딸기, 설향, 1, 0, 850.0
230403, 과일과채류, 수박, 수박, 1, 0, 283.33334
230403, 과일과채류, 딸기, 장희, 1, 0, 1333.3334
230403, 과일과채류, 딸기, 장희, 1, 0, 1066.6666
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 255.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과일과채류, 참외, 오복, 1, 0, 670.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 855.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 140.0
230403, 산채류, 두릅, 참두릅, 1, 0, 2660.0
230403, 과실류, 바나나, 기타바나나, 1, 0, 261.53845
230403, 과실류, 바나나, 기타바나나, 1, 0, 261.53845
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 180.0
230403, 과일과채류, 딸기, 설향, 1, 0, 750.0
230403, 엽경채류, 청경채, 청경채, 1, 0, 140.0
230403, 과실류, 바나나, 기타바나나, 1, 0, 261.53845
230403, 조미채소류, 풋고추, 청양, 1, 0, 350.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 620.0
230403, 양채류, 치커리, 치커리, 1, 0, 260.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 385.0
230403, 과실류, 바나나, 기타바나나, 1, 0, 261.53845
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 240.0
230403, 과일과채류, 딸기, 설향, 1, 0, 250.0
230403, 과채류, 오이, 취청, 1, 0, 160.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 950.0
230403, 과채류, 오이, 취청, 1, 0, 270.0
230403, 엽경채류, 깻잎, 깻잎, 1, 0, 800.0
230403, 조미채소류, 대파, 대파, 1, 0, 92.5
230403, 과채류, 오이, 취청, 1, 0, 300.0
230403, 양채류, 파프리카, 빨강파프리카, 1, 0, 186.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
