채소류, 꽈리고추, 꽈리고추, 1, 0, 937.5
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
230403, 과실류, 배, 신고, 1, 0, 300.0
230403, 서류, 고구마, 기타, 1, 0, 74.0
230403, 과채류, 오이, 취청, 1, 0, 300.0
230403, 과일과채류, 토마토, 완숙토마토, 1, 0, 880.0
230403, 과일과채류, 방울토마토, 방울토마토, 1, 0, 650.0
230403, 과일과채류, 참외, 오복, 1, 0, 540.0
230403, 과실류, 배, 신고, 1, 0, 153.33333
230403, 과일과채류, 딸기, 설향, 1, 0, 550.0
230403, 과일과채류, 수박, 수박, 1, 0, 387.5
230403, 과일과채류, 참외, 금싸라기, 1, 0, 620.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 288.0
230403, 과실류, 사과, 미얀마, 1, 0, 334.5
230403, 과일과채류, 참외, 금싸라기, 1, 0, 410.0
230403, 서류, 고구마, 기타, 1, 0, 236.0
230403, 조미채소류, 양파, 기타양파, 1, 0, 130.0
230403, 과실류, 사과, 미얀마, 1, 0, 120.5
230403, 과채류, 오이, 취청, 1, 0, 320.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 455.0
230403, 조미채소류, 양파, 기타양파, 1, 0, 130.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 480.0
230403, 과실류, 사과, 미얀마, 1, 0, 249.5
230403, 조미채소류, 양파, 기타양파, 1, 0, 130.0
230403, 과실류, 사과, 미얀마, 1, 0, 246.0
230403, 과일과채류, 딸기, 설향, 1, 0, 825.0
230403, 과일과채류, 참외, 오복, 1, 0, 750.0
230403, 버섯류, 양송이, 양송이, 1, 0, 1222.5
230403, 과일과채류, 딸기, 설향, 1, 0, 850.0
230403, 과실류, 바나나, 바나나, 0, 0, 284.6154
230403, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 325.0
230403, 과일과채류, 딸기, 설향, 1, 0, 570.0
230403, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 465.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 425.0
230403, 과실류, 감귤, 천혜향, 1, 0, 425.0
230403, 과실류, 사과, 미얀마, 1, 0, 85.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 605.0
230403, 과일과채류, 참외, 오복, 1, 0, 600.0
230403, 과실류, 사과, 미얀마, 1, 0, 110.0
230403, 엽경채류, 미나리, 돌미나리, 1, 0, 457.14285
230403, 과일과채류, 참외, 기타참외, 1, 0, 488.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 320.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 320.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 580.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 450.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 623.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 623.0
230403, 엽경채류, 머위대, 생머위대, 1, 0, 645.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 752.0
230403, 조미채소류, 쪽파, 깐쪽파, 1, 0, 260.0
채소류, 양파, 양파, 1, 0, 155.83333
230403, 산채류, 새싹, 새싹, 1, 0, 800.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 771.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 333.33334
230403, 산채류, 새싹, 새싹, 1, 0, 800.0
230403, 조미채소류, 쪽파, 쪽파, 1, 0, 155.0
채소류, 풋고추, 오이고추, 1, 0, 560.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 763.0
230403, 과일과채류, 딸기, 죽향, 1, 0, 1900.0
, 완두, 완두, 1, 0, 600.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 650.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 266.66666
230403, 산채류, 새싹, 새싹, 1, 0, 800.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 285.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 280.0
230403, 과실류, 바나나, 바나나, 0, 0, 119.23077
230403, 과일과채류, 딸기, 금실, 1, 0, 720.0
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 333.33334
류, 오이, 백다다기, 1, 0, 175.0
230403, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 202.5
230403, 산채류, 곤달비, 곤달비, 1, 0, 900.0
230403, 과일과채류, 수박, 수박, 1, 0, 172.22223
230403, 과일과채류, 방울토마토, 대추방울, 1, 0, 333.33334
230403, 과일과채류, 메론, 파파야계, 1, 0, 440.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 440.0
230403, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 202.5
채소류, 풋고추, 청양, 1, 0, 350.0
230403, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 202.5
채류, 냉이, 일반냉이, 1, 0, 712.5
230403, 근채류, 당근, 당근, 1, 0, 135.0
230403, 과일과채류, 토마토, 토마토, 1, 0, 180.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 430.0
230403, 엽경채류, 쑥, 쑥, 1, 0, 375.0
230403, 산채류, 두릅, 땅두릅, 1, 0, 870.0
230403, 양채류, 아스파라가스, 녹색, 1, 0, 1250.0
류, 오이, 백다다기, 1, 0, 266.66666
230403, 서류, 감자, 기타감자, 1, 0, 318.0
230403, 버섯류, 새송이, 새송이버섯, 1, 0, 360.0
230403, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 202.5
류, 오이, 백다다기, 1, 0, 192.5
230403, 산채류, 고사리, 생고사리, 1, 0, 800.0
230403, 과채류, 오이, 취청, 1, 0, 292.0
230403, 과채류, 오이, 취청, 1, 0, 410.0
230403, 엽경채류, 상추, 포기찹, 1, 0, 595.0
230403, 엽경채류, 부추, 일반부추, 1, 0, 400.0
채소류, 풋고추, 오이고추, 1, 0, 530.0
230403, 조미채소류, 풋고추, 청양, 1, 0, 441.0
230403, 과일과채류, 딸기, 설향, 1, 0, 400.0
230403, 과일과채류, 딸기, 설향, 1, 0, 450.0
230403, 과일과채류, 딸기, 설향, 1, 0, 500.0
230403, 과일과채류, 참외, 금싸라기, 1, 0, 410.0
230403, 과일과채류, 참외, 기타참외, 1, 0, 700.0
230403, 과일과채류, 딸기, 설향, 1, 0, 550.0
230403, 과일과채류, 딸기, 기타딸기, 1, 0, 1000.0
