deal_date,large,medium,소,origin,income,가격
20230307,소,설도,1++등급,korea,4459,4459,4459
20230307,소,설도,1+등급,korea,4284,4284,4284
20230307,소,설도,1등급,korea,4073,4073,4073
20230307,소,양지,1++등급,korea,6631,6631,6631
20230307,소,양지,1+등급,korea,5600,5600,5600
20230307,소,양지,1등급,korea,5445,5445,5445
20230307,소,갈비,1++등급,korea,8709,8709,8709
20230307,소,갈비,1+등급,korea,7121,7121,7121
20230307,소,갈비,1등급,korea,8980,8980,8980
20230307,돼지,앞다리,앞다리,korea,1276,1276,1276
20230307,돼지,삼겹살,삼겹살,korea,2017,2017,2017
20230307,돼지,갈비,갈비,korea,1334,1334,1334
20230307,돼지,목심,목심,korea,1829,1829,1829
20230307,수입 소고기,갈비,미국산,income,3456,3456,3456
20230307,수입 소고기,갈비,호주산,income,4217,4217,4217
20230307,수입 소고기,갈비살,미국산,income,4391,4391,4391
20230307,수입 돼지고기,삼겹살,삼겹살,income,1471,1471,1471
20230307,닭,육계(kg),육계(kg),korea,5954,5954,5954
20230307,계란,특란10구,일반란,korea,3806,3806,3806
20230307,계란,특란30구,일반란,korea,6310,6310,6310
20230307,우유,흰우유,흰우유,korea,2879,2879,2879
20230308,소,안심,1++등급,korea,14811,14811,14811
20230308,소,안심,1+등급,korea,13249,13249,13249
20230308,소,안심,1등급,korea,12150,12150,12150
20230308,소,등심,1++등급,korea,13057,13057,13057
20230308,소,등심,1+등급,korea,10635,10635,10635
20230308,소,등심,1등급,korea,9242,9242,9242
20230308,소,설도,1++등급,korea,4458,4458,4458
20230308,소,설도,1+등급,korea,4284,4284,4284
20230308,소,설도,1등급,korea,4067,4067,4067
20230308,소,양지,1++등급,korea,6635,6635,6635
20230308,소,양지,1+등급,korea,5592,5592,5592
20230308,소,양지,1등급,korea,5442,5442,5442
20230308,소,갈비,1++등급,korea,8626,8626,8626
20230308,소,갈비,1+등급,korea,7173,7173,7173
20230308,소,갈비,1등급,korea,6847,6847,6847
20230308,돼지,앞다리,앞다리,korea,1277,1277,1277
20230308,돼지,삼겹살,삼겹살,korea,2015,2015,2015
20230308,돼지,갈비,갈비,korea,1334,1334,1334
20230308,돼지,목심,목심,korea,1829,1829,1829
20230308,수입 소고기,갈비,미국산,income,3459,3459,3459
